"合并的文件: ['Base64_1_087.sol', 'BasicMathLib_0425.sol', 'Math_087.sol', 'SignedMath_2_087.sol']"
单例文件,函数数目,测试用例数目,通过数目,未通过数目
Base64_1_087.sol,1,10,10,0
BasicMathLib_0425.sol,4,40,40,0
Math_087.sol,4,40,40,0
SignedMath_2_087.sol,4,40,40,0
total,13,130,130,0

"合并的文件: ['Base64_1_087.sol', 'Base64_2_087.sol', 'ComputAddress_087.sol', 'MerkleProof_087.sol', 'BasicMathLib_0425.sol', 'Math_087.sol', 'SignedMath_2_087.sol', 'Strings_1_0425.sol', 'Strings_2_087.sol']"
单例文件,函数数目,测试用例数目,通过数目,未通过数目
Base64_1_087.sol,1,10,10,0
Base64_2_087.sol,1,10,10,0
ComputAddress_087.sol,1,10,10,0
MerkleProof_087.sol,2,20,20,0
BasicMathLib_0425.sol,4,40,40,0
Math_087.sol,4,40,40,0
SignedMath_2_087.sol,4,40,40,0
Strings_1_0425.sol,1,10,10,0
Strings_2_087.sol,2,20,20,0
total,20,200,200,0

"合并的文件: ['Base64_1_087.sol', 'Base64_2_087.sol', 'ComputAddress_087.sol', 'MerkleProof_087.sol', 'BasicMathLib_0425.sol', 'Math_087.sol', 'SignedMath_2_087.sol', 'Strings_1_0425.sol', 'Strings_2_087.sol']"
单例文件,函数数目,测试用例数目,通过数目,未通过数目
Base64_1_087.sol,1,100,100,0
Base64_2_087.sol,1,100,100,0
ComputAddress_087.sol,1,100,100,0
MerkleProof_087.sol,2,200,200,0
BasicMathLib_0425.sol,4,400,400,0
Math_087.sol,4,400,400,0
SignedMath_2_087.sol,4,400,400,0
Strings_1_0425.sol,1,100,100,0
Strings_2_087.sol,2,200,200,0
total,20,2000,2000,0

